State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
AK,"1,583",130,0.66,0.58,533,"1,058",55,93,"552,319","74,340","110,464","22,401","4,659","1,493",280%,141%,94%,747,140%,71%,47%,487,91%,46%,31%,311,565%,334%,239%,155,282%,167%,119%,101,184%,109%,78%
AL,"13,959","1,870",0.64,0.68,"4,994","9,476",606,"1,238","3,748,089","762,032","749,618","156,906","33,939","10,460",209%,110%,75%,"5,230",105%,55%,37%,"3,411",68%,36%,24%,"2,263",373%,183%,121%,"1,131",187%,91%,60%,738,122%,60%,39%
AR,"8,428",856,0.52,0.58,"4,069","6,248",362,609,"2,272,226","476,167","454,445","95,392","20,703","6,359",156%,102%,75%,"3,180",78%,51%,38%,"2,074",51%,33%,25%,"1,380",381%,227%,161%,690,191%,113%,81%,450,124%,74%,53%
AZ,"12,868","1,742",0.62,0.53,"4,938","8,903",814,"1,278","5,187,520","1,106,362","1,037,504","218,147","47,439","14,543",295%,163%,113%,"7,272",147%,82%,57%,"4,742",96%,53%,37%,"3,163",389%,247%,182%,"1,581",194%,124%,91%,"1,031",127%,81%,59%
CA,"68,554","8,131",0.67,0.58,"22,831","45,692","3,381","5,756","29,868,127","5,148,448","5,973,625","1,232,809","262,113","82,187",360%,180%,120%,"41,094",180%,90%,60%,"26,800",117%,59%,39%,"17,474",517%,304%,215%,"8,737",258%,152%,107%,"5,698",169%,99%,70%
CO,"9,620","1,264",0.58,0.6,"4,033","6,826",500,882,"4,185,186","707,396","837,037","172,478","36,601","11,499",285%,168%,120%,"5,749",143%,84%,60%,"3,750",93%,55%,39%,"2,440",488%,277%,193%,"1,220",244%,138%,97%,796,159%,90%,63%
CT,"6,894",731,0.76,0.61,"1,643","4,269",285,508,"2,831,746","575,757","566,349","118,546","25,641","7,903",481%,185%,115%,"3,952",241%,93%,57%,"2,577",157%,60%,37%,"1,709",600%,336%,234%,855,300%,168%,117%,557,195%,110%,76%
DC,"2,405",401,0.72,0.6,671,"1,538",159,280,"554,333","79,769","110,867","22,580","4,722","1,505",224%,98%,63%,753,112%,49%,31%,491,73%,32%,20%,315,198%,113%,79%,157,99%,56%,39%,103,65%,37%,26%
DE,"1,864",249,0.72,0.75,516,"1,190",63,156,"739,679","160,565","147,936","31,159","6,790","2,077",403%,175%,111%,"1,039",201%,87%,56%,677,131%,57%,36%,453,719%,290%,182%,226,359%,145%,91%,148,235%,95%,59%
FL,"51,190","6,226",0.66,0.67,"17,651","34,421","2,044","4,135","16,166,865","3,926,889","3,233,373","688,952","152,165","45,930",260%,133%,90%,"22,965",130%,67%,45%,"14,977",85%,44%,29%,"10,144",496%,245%,163%,"5,072",248%,123%,81%,"3,308",162%,80%,53%
GA,"23,831","2,703",0.7,0.72,"7,210","15,520",752,"1,728","7,702,432","1,300,430","1,540,486","317,401","67,348","21,160",293%,136%,89%,"10,580",147%,68%,44%,"6,900",96%,44%,29%,"4,490",597%,260%,166%,"2,245",299%,130%,83%,"1,464",195%,85%,54%
HI,"2,623",219,0.7,0.67,795,"1,709",73,146,"1,114,075","238,126","222,815","46,859","10,193","3,124",393%,183%,119%,"1,562",196%,91%,60%,"1,019",128%,60%,39%,680,932%,466%,311%,340,466%,233%,155%,222,304%,152%,101%
IA,"9,309",622,0.56,0.53,"4,100","6,705",293,458,"2,389,398","501,026","477,880","100,317","21,773","6,688",163%,100%,72%,"3,344",82%,50%,36%,"2,181",53%,33%,23%,"1,452",496%,317%,233%,726,248%,159%,117%,473,161%,103%,76%
ID,"3,267",333,0.51,0.53,"1,607","2,437",155,244,"1,222,764","242,449","244,553","51,072","11,016","3,405",212%,140%,104%,"1,702",106%,70%,52%,"1,110",69%,46%,34%,734,474%,301%,220%,367,237%,150%,110%,239,154%,98%,72%
IL,"30,006","3,426",0.58,0.59,"12,580","21,293","1,410","2,418","9,895,529","1,847,932","1,979,106","411,141","88,123","27,409",218%,129%,91%,"13,705",109%,64%,46%,"8,938",71%,42%,30%,"5,875",417%,243%,171%,"2,937",208%,121%,86%,"1,916",136%,79%,56%
IN,"17,433","2,358",0.56,0.59,"7,685","12,559",974,"1,666","5,036,563","968,568","1,007,313","209,792","45,105","13,986",182%,111%,80%,"6,993",91%,56%,40%,"4,561",59%,36%,26%,"3,007",309%,180%,128%,"1,504",154%,90%,64%,981,101%,59%,42%
KS,"9,120",878,0.53,0.55,"4,310","6,715",391,634,"2,185,546","426,273","437,109","91,150","19,627","6,077",141%,90%,67%,"3,038",70%,45%,33%,"1,982",46%,30%,22%,"1,308",335%,206%,149%,654,167%,103%,74%,427,109%,67%,49%
KY,"13,150","1,447",0.6,0.65,"5,291","9,220",504,976,"3,411,784","672,706","682,357","142,429","30,704","9,495",179%,103%,72%,"4,748",90%,51%,36%,"3,096",59%,34%,24%,"2,047",406%,210%,141%,"1,023",203%,105%,71%,667,132%,68%,46%
LA,"13,881","1,518",0.57,0.58,"5,990","9,936",632,"1,075","3,550,728","655,848","710,146","147,389","31,555","9,826",164%,99%,71%,"4,913",82%,49%,35%,"3,204",53%,32%,23%,"2,104",333%,196%,139%,"1,052",166%,98%,69%,686,109%,64%,45%
MA,"13,759","1,555",0.74,0.63,"3,603","8,681",571,"1,063","5,405,787","1,049,751","1,081,157","225,365","48,504","15,024",417%,173%,109%,"7,512",208%,87%,55%,"4,899",136%,56%,36%,"3,234",566%,304%,208%,"1,617",283%,152%,104%,"1,054",185%,99%,68%
MD,"11,249","1,227",0.71,0.66,"3,296","7,273",422,825,"4,648,466","849,185","929,693","192,776","41,226","12,852",390%,177%,114%,"6,426",195%,88%,57%,"4,191",127%,58%,37%,"2,748",651%,333%,224%,"1,374",326%,167%,112%,896,212%,109%,73%
ME,"3,310",288,0.7,0.63,980,"2,145",107,198,"1,073,331","250,131","214,666","45,539","10,007","3,036",310%,142%,92%,"1,518",155%,71%,46%,990,101%,46%,30%,667,623%,337%,232%,334,312%,169%,116%,218,204%,110%,76%
MI,"24,286","2,749",0.64,0.64,"8,855","16,571",976,"1,863","7,717,047","1,575,233","1,543,409","323,177","69,934","21,545",243%,130%,89%,"10,773",122%,65%,44%,"7,026",79%,42%,29%,"4,662",478%,250%,170%,"2,331",239%,125%,85%,"1,520",156%,82%,55%
MN,"13,423","1,277",0.66,0.65,"4,605","9,014",452,864,"4,204,388","803,718","840,878","175,037","37,609","11,669",253%,129%,87%,"5,835",127%,65%,43%,"3,805",83%,42%,28%,"2,507",555%,290%,196%,"1,254",277%,145%,98%,818,181%,95%,64%
MO,"17,087","2,092",0.6,0.58,"6,884","11,985",874,"1,483","4,685,891","956,032","937,178","196,228","42,460","13,082",190%,109%,77%,"6,541",95%,55%,38%,"4,266",62%,36%,25%,"2,831",324%,191%,135%,"1,415",162%,95%,68%,923,106%,62%,44%
